800	,6500000
750	,5000000
950	,15500000
600	,4200000
650	,6200000
1300	,15500000
1350	,10000000
650	,4000000
985	,6800000
1300	,15000000
1100	,6200000
870	,7700000
630	,5500000
660	,5000000
344.4448	,3310000
660	,4700000
550	,4500000
1100	,17000000
1150	,25000000
650	,6000000
850	,11000000
900	,4500000
430.556	,5300000
900	,10500000
914.9315	,12000000
1100	,7000000
800	,7000000
500	,3400000
28	,5000000
2160	,21000000
1500	,13500000
800	,15000000
900	,10500000
1080	,22500000
750	,13600000
1450	,30000000
900	,13500000
810	,8910000
1350	,25000000
1710	,26000000
1650	,30000000
1280	,12500000
1260	,21000000
1130	,7800000
600	,11500000
850	,11500000
1500	,26000000
900	,13000000
1000	,22000000
900	,15800000
2925	,57500000
900	,10000000
1600	,30000000
1143	,22000000
1150	,24000000
1500	,31500000
850	,14600000
8000	,240000000
890	,8300000
1100	,22500000
750	,4600000
850	,1900000
1350	,5130000
1387	,5890000
1050	,3700000
1500	,17400000
1200	,15500000
700	,2400000
1700	,17200000
1550	,14200000
1400	,13500000
1900	,30000000
2160	,21000000
1700	,20500000
1850	,24000000
1800	,16500000
1620	,14900000
1800	,19200000
1540	,14500000
1600	,15600000
1400	,11400000
2300	,31500000
1560	,15800000
1500	,16000000
1540	,14500000
1050	,10500000
1800	,14800000
400	,1850000
1150	,6800000
1525	,14200000
900	,8900000
1450	,37500000
1450	,30000000
1260	,21000000
2925	,57500000
1710	,30000000
1600	,30000000
1500	,31500000
2200	,30000000
1350	,41500000
1710	,24800000
1350	,35000000
1500	,40000000
2880	,46000000
2700	,55000000
1400	,24500000
1800	,24500000
1400	,32500000
1000	,20000000
8000	,240000000
1000	,20000000
1700	,19000000
1600	,26000000
1350	,21000000
1700	,27500000
1400	,32500000
1450	,45000000
1350	,21000000
1700	,28000000
1600	,29500000
1500	,13500000
800	,14000000
1710	,26000000
1350	,12500000
1500	,26000000
750	,11500000
850	,14600000
1575	,25500000
1675	,31000000
1350	,22000000
900	,13400000
1800	,35000000
900	,11000000
900	,6300000
900	,12500000
800	,14500000
1100	,22500000
810	,15500000
1500	,26000000
900	,15800000
825	,15000000
900	,13000000
875	,15000000
1350	,25000000
750	,16500000
900	,10300000
1350	,26000000
900	,11000000
1800	,28500000
900	,11000000
900	,11000000
810	,4500000
450	,3600000
100	,4300000
900	,4000000
500	,1650000
450	,2000000
75	,3000000
270	,1400000
500	,2000000
444	,2000000
400	,2000000
729	,2600000
4050	,5100000
2400	,6000000
450	,4000000
405	,6200000
666	,3500000
1000	,7600000
1360	,13500000
1550	,12500000
